Année;NAADC;NPA;NDI;CTI
1978;41 291;59 288;27 713;744,6
1979;45 462;64 780;31 028;743,9
1980;45 483;64 123;29 977;659,3
1981;45 080;60 648;28 386;687,1
1982;33 915;46 466;23 083;541,9
1983;36 872;50 575;26 506;568,1
1984;41 100;56 382;31 224;634,7
1985;45 663;63 105;36 393;733,2
1986;43 371;59 348;35 143;703,7
1987;44 807;61 164;35 515;763,4
1988;43 846;60 489;36 449;770,9
1989;40 618;56 719;36 673;849,8
1990;37 419;52 095;31 110;704,1
1991;35 769;49 415;28 167;746,1
1992;35 290;48 640;27 626;768,2
1993;34 505;47 758;26 184;828,1
1994;33 406;46 349;24 303;861,3
1995;33 252;46 000;24 538;852,1
1996;32 288;44 919;24 554;855,6
1997;32 072;44 531;25 517;859,9
1998;31 079;43 097;25 353;850,9
1999;32 260;44 919;27 486;925,2
2000;34 167;47 577;28 832;1 024,1
2001;33 025;45 499;27 710;957,6
2002;35 159;48 796;28 904;1 042,5
2003;36 312;50 128;31 047;1 106,0
2004;36 608;50 224;31 752;1 070,6
2005;38 061;52 162;33 141;1 136,0
2006;36 814;50 475;31 689;999,8
2007;35 241;47 844;29 911;937,3
2008;32 403;43 998;26 861;856,6
2009;31 945;43 427;25 361;788,1
2010;32 368;43 824;25 214;841,2
2011;30 983;41 898;24 489;817,5
2012;29 452;39 487;20 572;801,9
2013;28 319;38 097;19 462;781,0
2014;26 971;36 197;18 537;752,2
2015;27 917;37 351;19 484;793,7
